#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,location
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:06:30Z,73.66666666666667,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:06:40Z,115.5,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:06:50Z,113,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:07:00Z,90.66666666666667,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:07:10Z,110.5,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:07:20Z,126,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:07:30Z,178.33333333333334,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:07:40Z,96.25,ECU_control,telemetry_data,sensor,car
,,0,2025-05-25T15:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,2025-05-25T16:07:43.433758955Z,78,ECU_control,telemetry_data,sensor,car

